sr_no,age_group,gender,residential_area,education_level,employment_status,monthly_income,current_brand,model_name,current_price_range,usage_duration,purchase_source,top_3_reasons,most_used_feature,upgrade_frequency,purchase_preference,resale_consideration,satisfaction,next_brand_preference,next_priority,next_budget,foldable_interest,indian_brand_preference
18,18 - 25,Female,Urban,Graduation,Student,"10,000 - 25,000",Vivo,,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Storage & RAM, 5G support",Social media,Only when my phone stops working,Online,No,Yes,OnePlus,"Features (camera, battery, performance, etc)","40,000 - 70,000",No,Doesn't matter
19,18 - 25,Male,Urban,Graduation,Student,"25,000 - 50,000",Vivo,,"20,000 - 40,000",1 - 3 years,Online,"Camera quality, Battery life, Display quality",Social media,Only when my phone stops working,Online,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Maybe,Doesn't matter
20,18 - 25,Male,Urban,Graduation,Student,"50,000 - 1,00,000",Apple,iphonee 15 pro max,"Above 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Display quality, Software & UI Experience",Social media,Only when my phone stops working,Brand Showroom,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Yes,Doesn't matter
21,18 - 25,Male,Urban,Graduation,Student,"25,000 - 50,000",Oppo,,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Battery life, Processor performance, Storage & RAM",Social media,Only when my phone stops working,Whichever gives the best deal,No,Yes,Samsung,"Features (camera, battery, performance, etc)","40,000 - 70,000",Maybe,Doesn't matter
22,18 - 25,Female,Urban,Graduation,Student,"50,000 - 1,00,000",OnePlus,,"40,000 - 70,000",1 - 3 years,Brand Outlet/Showroom,"Display quality, Storage & RAM, 5G support",Social media,Every 3+ years,Brand Showroom,No,Yes,Apple,Software updates & longevity,"Above 70,000",Yes,Doesn't matter
23,26 - 35,Male,Urban,Graduation,Employed,"50,000 - 1,00,000",Apple,iphonee 15 pro max,"Above 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Storage & RAM, 5G support",Office works,Only when my phone stops working,Brand Showroom,Yes,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Maybe,Doesn't matter
24,36 - 50,Female,Urban,Graduation,Unemployed,"25,000 - 50,000",Xiaomi,redmi12,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Realme,Budget/ Price,"10,000 - 20,000",Maybe,Doesn't matter
25,26 - 35,Female,Urban,Graduation,Unemployed,"50,000 - 1,00,000",Samsung,,"20,000 - 40,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Display quality",Social media,Only when my phone stops working,Online,No,Yes,OnePlus,Software updates & longevity,"40,000 - 70,000",Maybe,Doesn't matter
26,18 - 25,Male,Urban,Graduation,Student,"50,000 - 1,00,000",Apple,iphonee 14 pro max,"Above 70,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Display quality, Price & affordability",Social media,Only when my phone stops working,Brand Showroom,No,Yes,Samsung,5G support,"Above 70,000",Maybe,Doesn't matter
27,18 - 25,Female,Rural,Post-graduation & Above,Student,"25,000 - 50,000",Realme,,"10,000 - 20,000",More than 3 years,Local Retail Store,"Battery life, Display quality, Price & affordability",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Doesn't matter
28,18 - 25,Female,Rural,10th - 12th,Student,"10,000 - 25,000",Xiaomi,redmi6,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Social media,Only when my phone stops working,Online,No,Yes,OnePlus,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Doesn't matter
29,18 - 25,Male,Rural,Graduation,Student,"50,000 - 1,00,000",Samsung,,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Display quality, Storage & RAM, 5G support",Social media,Only when my phone stops working,Brand Showroom,No,Yes,Samsung,"Features (camera, battery, performance, etc)","40,000 - 70,000",Yes,Doesn't matter
30,18 - 25,Male,Urban,10th - 12th,Student,"50,000 - 1,00,000",Oppo,,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Battery life, Display quality",Social media,Only when my phone stops working,Online,No,Yes,OnePlus,Software updates & longevity,"20,000 - 40,000",Maybe,Doesn't matter
31,36 - 50,Male,Rural,Graduation,Employed,"10,000 - 25,000",Samsung,samsung s51,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Battery life, 5G support, After-Sales Service",Office works,Only when my phone stops working,Offline (Retail Store),No,Yes,Oppo,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,Yes
32,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Realme,realme 10,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Other,Every 3+ years,Brand Showroom,No,Yes,Samsung,Budget/ Price,"10,000 - 20,000",Yes,Yes
33,26 - 35,Female,Rural,Post-graduation & Above,Employed,"10,000 - 25,000",Xiaomi,redmi 6,"Below 10,000",6 months - 1 year,Local Retail Store,"Battery life, Processor performance, Display quality",Social media,Only when my phone stops working,Offline (Retail Store),No,Yes,Apple,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,No
34,26 - 35,Male,Rural,Graduation,Employed,"10,000 - 25,000",Panasonic,poco,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Battery life, Processor performance",Web browsing ,Only when my phone stops working,Offline (Retail Store),Yes,No,Vivo,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,Doesn't matter
35,18 - 25,Male,Rural,Post-graduation & Above,Unemployed,"25,000 - 50,000",Panasonic,panasonic eluga i7,"20,000 - 40,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, 5G support, Software & UI Experience",Communication,Every 2 years,Brand Showroom,Yes,Yes,OnePlus,5G support,"10,000 - 20,000",No,Doesn't matter
36,26 - 35,Female,Rural,Below 10th,Student,"Below 10,000",Xiaomi,redmi note 14,"10,000 - 20,000",6 months - 1 year,Online,"Camera quality, Battery life, Display quality",Office works,Every 3+ years,Online,No,Yes,Oppo,Software updates & longevity,"10,000 - 20,000",Maybe,Doesn't matter
37,18 - 25,Male,Rural,Graduation,Unemployed,"10,000 - 25,000",Lava,lava agni,"20,000 - 40,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, 5G support",Other,Every year,Whichever gives the best deal,Yes,Yes,Apple,5G support,"20,000 - 40,000",Maybe,No
38,36 - 50,Female,Rural,10th - 12th,Employed,"Below 10,000",Samsung,samsung galaxy m13,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Camera quality, Battery life, Display quality",Communication,Every 2 years,Offline (Retail Store),No,No,Poco,Software updates & longevity,"40,000 - 70,000",Maybe,No
39,18 - 25,Male,Rural,Graduation,Unemployed,"Below 10,000",IQOO,iqoo zgx,"20,000 - 40,000",1 - 3 years,Online,"Display quality, Storage & RAM, Software & UI Experience",Social media,Every 3+ years,Offline (Retail Store),No,No,Motorola,Brand reputation,"10,000 - 20,000",Yes,Yes
40,26 - 35,Female,Urban,Post-graduation & Above,Self-Employed,"10,000 - 25,000",Realme,realme n65,"10,000 - 20,000",More than 3 years,Online,"Camera quality, Battery life, Processor performance",Office works,Every 2 years,Whichever gives the best deal,No,Yes,Unknown,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,No
41,18 - 25,Male,Rural,Graduation,Self-Employed,"25,000 - 50,000",Xiaomi,redmi 14c,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Battery life, Processor performance, Display quality",Communication,Every 2 years,Brand Showroom,Yes,Yes,Vivo,"Features (camera, battery, performance, etc)","20,000 - 40,000",Maybe,Doesn't matter
42,26 - 35,Male,Rural,Graduation,Employed,"10,000 - 25,000",Motorola,motorola g45,"20,000 - 40,000",6 months - 1 year,Local Retail Store,"Camera quality, Unknown-5.9",Social media,Only when my phone stops working,Brand Showroom,Yes,No,Oppo,"Features (camera, battery, performance, etc)","20,000 - 40,000",Maybe,Doesn't matter
43,26 - 35,Male,Rural,10th - 12th,Employed,"Below 10,000",Xiaomi,redmi 13,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Processor performance, Display quality, Storage & RAM",Social media,Every 3+ years,Online,No,Yes,Motorola,5G support,"10,000 - 20,000",Maybe,No
44,26 - 35,Male,Rural,Graduation,Self-Employed,"10,000 - 25,000",Xiaomi,redmi 84,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Battery life, Storage & RAM",Social media,Every 3+ years,Online,No,Yes,OnePlus,Performance & Speed,"10,000 - 20,000",Yes,No
45,26 - 35,Male,Rural,Graduation,Self-Employed,"25,000 - 50,000",OnePlus,oneplus nord 10,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Display quality, Storage & RAM, Software & UI Experience",Other,Every 3+ years,Offline (Retail Store),Yes,Yes,Apple,Performance & Speed,"40,000 - 70,000",Yes,Doesn't matter
46,26 - 35,Female,Urban,Graduation,Unemployed,"25,000 - 50,000",Xiaomi,,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Display quality, Storage & RAM",Communication,Every 3+ years,Online,No,Yes,Realme,5G support,"20,000 - 40,000",No,Yes
47,26 - 35,Female,Urban,Post-graduation & Above,Unemployed,"50,000 - 1,00,000",Realme,,"20,000 - 40,000",1 - 3 years,Online,"Camera quality, Processor performance, Storage & RAM",Camera,Only when my phone stops working,Online,No,Yes,Realme,Software updates & longevity,"20,000 - 40,000",Maybe,Doesn't matter
48,36 - 50,Male,Urban,Graduation,Self-Employed,"25,000 - 50,000",Realme,realme 11 pro,"10,000 - 20,000",1 - 3 years,Online,"Battery life, Processor performance, Brand reputation",Communication,Only when my phone stops working,Offline (Retail Store),No,Yes,Samsung,Performance & Speed,"20,000 - 40,000",No,Yes
49,36 - 50,Female,Urban,Graduation,Unemployed,"50,000 - 1,00,000",Xiaomi,,"10,000 - 20,000",6 months - 1 year,Online,"Processor performance, Storage & RAM, Price & affordability",Communication,Only when my phone stops working,Whichever gives the best deal,No,Yes,Realme,Brand reputation,"10,000 - 20,000",No,Doesn't matter
50,18 - 25,Male,Urban,Graduation,Self-Employed,"10,000 - 25,000",Vivo,vivo v50,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, Display quality",Camera,Every 2 years,Offline (Retail Store),Yes,,Samsung,"Features (camera, battery, performance, etc)","10,000 - 20,000",Maybe,No
51,18 - 25,Male,Urban,10th - 12th,Employed,"10,000 - 25,000",Xiaomi,xiaomi 12,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Processor performance, Display quality",Web browsing ,Every year,Brand Showroom,No,,Apple,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,No
52,18 - 25,Male,Rural,Graduation,Employed,"25,000 - 50,000",Xiaomi,redmi 13,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Processor performance, Display quality, Storage & RAM",Social media,Every 2 years,Brand Showroom,No,,iQOO,Brand reputation,"Below 10,000",No,Yes
53,18 - 25,Male,Rural,10th - 12th,Self-Employed,"Below 10,000",Google,pixel 6,"20,000 - 40,000",Less than 6 months,Online,"Processor performance, Display quality, Storage & RAM",Web browsing ,Only when my phone stops working,Offline (Retail Store),Yes,,Vivo,Budget/ Price,"10,000 - 20,000",Yes,No
54,18 - 25,Female,Urban,Below 10th,Employed,"10,000 - 25,000",Huawei,huawei mate pro,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, Storage & RAM",Social media,Every 2 years,Offline (Retail Store),Yes,,Samsung,Brand reputation,"Below 10,000",Maybe,No
55,18 - 25,Male,Rural,10th - 12th,Student,"10,000 - 25,000",Samsung,samsung a25,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Display quality, Storage & RAM",Web browsing ,Every year,Brand Showroom,No,,Apple,Budget/ Price,"20,000 - 40,000",Maybe,Yes
56,18 - 25,Female,Urban,Graduation,Self-Employed,"25,000 - 50,000",Google,pixel 7,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Storage & RAM, Price & affordability",Social media,Every 3+ years,Offline (Retail Store),Yes,,Vivo,Brand reputation,"10,000 - 20,000",No,No
57,18 - 25,Male,Urban,10th - 12th,Employed,"25,000 - 50,000",Lava,lava a 13,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Display quality, Storage & RAM",Web browsing ,Every 2 years,Brand Showroom,Yes,,Redmi,"Features (camera, battery, performance, etc)","20,000 - 40,000",Yes,Yes
58,26 - 35,Male,Rural,Graduation,Employed,"10,000 - 25,000",Vivo,vivo v13,"10,000 - 20,000",6 months - 1 year,Online,"Camera quality, Processor performance, Display quality",Web browsing ,Every 3+ years,Offline (Retail Store),Yes,,Apple,Brand reputation,"10,000 - 20,000",Yes,No
59,18 - 25,Female,Urban,10th - 12th,Self-Employed,"Below 10,000",Xiaomi,xiaomi 14,"20,000 - 40,000",Less than 6 months,Local Retail Store,"Camera quality, Processor performance, Display quality, Storage & RAM",Social media,Every year,Brand Showroom,Yes,,Samsung,Brand reputation,"Below 10,000",No,Yes
60,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Vivo,vivo v 12,"10,000 - 20,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Display quality, Storage & RAM",Communication,Every 3+ years,Offline (Retail Store),No,,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",Maybe,No
61,18 - 25,Male,Rural,Graduation,Self-Employed,"25,000 - 50,000",Xiaomi,xiaomi 10,"20,000 - 40,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Processor performance, Display quality, Storage & RAM",Social media,Every year,Online,Yes,,Vivo,Brand reputation,"10,000 - 20,000",No,Yes
62,18 - 25,Male,Urban,10th - 12th,Student,"10,000 - 25,000",Xiaomi,redmi 8 prime,"10,000 - 20,000",Less than 6 months,Local Retail Store,"Camera quality, Display quality, Storage & RAM",Social media,Only when my phone stops working,Offline (Retail Store),No,,Lava,"Features (camera, battery, performance, etc)","Below 10,000",Yes,No
63,18 - 25,Male,Rural,Graduation,Employed,"25,000 - 50,000",Google,google pixel 8,"20,000 - 40,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Processor performance, Display quality",Camera,Only when my phone stops working,Offline (Retail Store),No,,Samsung,Brand reputation,"20,000 - 40,000",Yes,No
64,18 - 25,Male,Urban,10th - 12th,Self-Employed,"25,000 - 50,000",Huawei,huawei p40,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, Processor performance, Display quality, Storage & RAM",Social media,Every 3+ years,Brand Showroom,No,,Redmi,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,No
65,18 - 25,Male,Rural,Graduation,Self-Employed,"10,000 - 25,000",Oppo,oppo find x2,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Camera quality, Processor performance, Display quality, Storage & RAM",Web browsing ,Every 2 years,Offline (Retail Store),Yes,,Lava,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,Yes
66,18 - 25,Male,Urban,10th - 12th,Unemployed,"10,000 - 25,000",Oppo,oppo x3,"10,000 - 20,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Processor performance, Storage & RAM",Social media,Only when my phone stops working,Offline (Retail Store),Yes,,Samsung,Budget/ Price,"10,000 - 20,000",Yes,No
67,18 - 25,Male,Rural,10th - 12th,Student,"25,000 - 50,000",Vivo,vivo s6,"20,000 - 40,000",More than 3 years,Local Retail Store,"Camera quality, Display quality, Storage & RAM",Social media,Every year,Online,No,,Apple,Brand reputation,"Below 10,000",Maybe,No
68,18 - 25,Male,Urban,Graduation,Unemployed,"10,000 - 25,000",Samsung,samsung galaxy s6,"20,000 - 40,000",Less than 6 months,Brand Outlet/Showroom,"Camera quality, Storage & RAM, Price & affordability",Social media,Every 3+ years,Offline (Retail Store),No,,Vivo,Brand reputation,"Below 10,000",No,No
69,18 - 25,Male,Rural,10th - 12th,Unemployed,"10,000 - 25,000",Apple,apple 16,"10,000 - 20,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Processor performance, Display quality, Storage & RAM",Web browsing ,Only when my phone stops working,Brand Showroom,Yes,,Vivo,Budget/ Price,"20,000 - 40,000",No,Yes
70,18 - 25,Male,Urban,Graduation,Self-Employed,"25,000 - 50,000",Samsung,samsung galaxy a56,"20,000 - 40,000",More than 3 years,Local Retail Store,"Camera quality, Display quality, Storage & RAM",Social media,Every 3+ years,Offline (Retail Store),No,,Apple,"Features (camera, battery, performance, etc)","20,000 - 40,000",Maybe,No
71,18 - 25,Male,Urban,Graduation,Unemployed,"10,000 - 25,000",Apple,apple 15,"20,000 - 40,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Processor performance, Display quality",Social media,Only when my phone stops working,Brand Showroom,No,,Lava,"Features (camera, battery, performance, etc)","10,000 - 20,000",No,No
72,18 - 25,Male,Urban,10th - 12th,Unemployed,"25,000 - 50,000",Samsung,samsung galaxy s10,"10,000 - 20,000",1 - 3 years,Online,"Camera quality, Processor performance, Display quality",Communication,Every 2 years,Offline (Retail Store),Yes,,Vivo,Budget/ Price,"20,000 - 40,000",Yes,Yes
73,18 - 25,Male,Urban,10th - 12th,Employed,"Below 10,000",Vivo,vivo v50,"Below 10,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Processor performance, Display quality",Social media,Only when my phone stops working,Online,No,,Apple,"Features (camera, battery, performance, etc)","Below 10,000",Yes,No
74,18 - 25,Male,Rural,Graduation,Employed,"Below 10,000",Xiaomi,huwei mate 60,"10,000 - 20,000",More than 3 years,Online,"Camera quality, Battery life, Processor performance",Web browsing ,Every 2 years,Brand Showroom,Yes,,Vivo,Brand reputation,"20,000 - 40,000",Yes,No
75,18 - 25,Male,Urban,10th - 12th,Unemployed,"25,000 - 50,000",Google,pixel 6,"20,000 - 40,000",6 months - 1 year,Online,"Camera quality, Processor performance, Storage & RAM",Social media,Only when my phone stops working,Online,No,,Apple,Budget/ Price,"20,000 - 40,000",Maybe,Yes
76,18 - 25,Female,Rural,10th - 12th,Student,"10,000 - 25,000",Samsung,galaxy s24,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Display quality",Web browsing ,Every 2 years,Online,No,,Lava,Brand reputation,"Below 10,000",Maybe,No
77,18 - 25,Male,Urban,Below 10th,Employed,"25,000 - 50,000",Poco,poco f1,"10,000 - 20,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Display quality, Storage & RAM",Social media,Every 3+ years,Offline (Retail Store),No,,Apple,Brand reputation,"10,000 - 20,000",Yes,No
78,26 - 35,Male,Rural,10th - 12th,Self-Employed,"Below 10,000",Samsung,samsung galaxy,"20,000 - 40,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Battery life, Storage & RAM",Camera,Every year,Brand Showroom,No,Yes,Apple,5G support,"10,000 - 20,000",No,No
79,18 - 25,Male,Rural,Below 10th,Employed,"25,000 - 50,000",Poco,poco,"10,000 - 20,000",6 months - 1 year,Local Retail Store,"Battery life, Display quality, Storage & RAM",Web browsing ,Every 3+ years,Offline (Retail Store),Yes,No,Samsung,"Features (camera, battery, performance, etc)","10,000 - 20,000",Yes,No
80,18 - 25,Female,Rural,Graduation,Self-Employed,"Below 10,000",Realme,realme 6,"40,000 - 70,000",1 - 3 years,Local Retail Store,"Battery life, Brand reputation, 5G support",Web browsing ,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Apple,5G support,"40,000 - 70,000",Maybe,Yes
81,36 - 50,Female,Urban,Post-graduation & Above,Student,"10,000 - 25,000",Vivo,vivo v 14,"40,000 - 70,000",Less than 6 months,Second hand,"Camera quality, 5G support, Software & UI Experience",Gaming,Every 2 years,Online,No,Yes,Redmi,Brand reputation,"Below 10,000",Yes,Yes
82,18 - 25,Female,Rural,Below 10th,Employed,"50,000 - 1,00,000",Samsung,samsung galaxy,"20,000 - 40,000",Less than 6 months,Second hand,"Camera quality, Brand reputation, Price & affordability",Other,Every year,Whichever gives the best deal,No,Yes,OnePlus,Budget/ Price,"40,000 - 70,000",Yes,No
83,18 - 25,Female,Urban,Post-graduation & Above,Employed,"10,000 - 25,000",Vivo,vivo v 14,"Below 10,000",More than 3 years,Brand Outlet/Showroom,"Battery life, Storage & RAM, Price & affordability",Office works,Every 3+ years,Offline (Retail Store),No,Yes,Poco,Brand reputation,"10,000 - 20,000",No,No
84,26 - 35,Male,Urban,10th - 12th,Student,"50,000 - 1,00,000",Oppo,oppo a54,"Below 10,000",More than 3 years,Local Retail Store,"Camera quality, Storage & RAM, Storage & RAM",Communication,Only when my phone stops working,Brand Showroom,No,Yes,Motorola,5G support,"Below 10,000",No,No
85,26 - 35,Male,Urban,Post-graduation & Above,Unemployed,"25,000 - 50,000",Apple,iphonee 15,"10,000 - 20,000",6 months - 1 year,Online,"Display quality, Storage & RAM, Camera quality",Social media,Only when my phone stops working,Online,Yes,Yes,Apple,5G support,"Below 10,000",Maybe,Yes
86,26 - 35,Male,Rural,10th - 12th,Self-Employed,"10,000 - 25,000",OnePlus,one plus nord 5,"40,000 - 70,000",1 - 3 years,Local Retail Store,"Battery life, Brand reputation, Price & affordability",Camera,Every 2 years,Whichever gives the best deal,No,Yes,Vivo,Software updates & longevity,"10,000 - 20,000",No,No
87,26 - 35,Male,Urban,Graduation,Unemployed,"50,000 - 1,00,000",Apple,iphone 15,"40,000 - 70,000",6 months - 1 year,Second hand,"Camera quality, Storage & RAM, Processor performance",Camera,Every 2 years,Whichever gives the best deal,No,Yes,Apple,Budget/ Price,"40,000 - 70,000",Yes,Yes
88,18 - 25,Male,Urban,Graduation,Unemployed,"25,000 - 50,000",Google,google pixel,"20,000 - 40,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Processor performance",Communication,Only when my phone stops working,Online,No,Yes,Google,Software updates & longevity,"10,000 - 20,000",Maybe,Yes
89,26 - 35,Female,Rural,Graduation,Unemployed,"50,000 - 1,00,000",Samsung,samsung galaxy 8,"10,000 - 20,000",6 months - 1 year,Online,"Storage & RAM, Price & affordability, Camera quality",Social media,Every year,Brand Showroom,No,No,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",Yes,No
